#"Step","Potential Energy (kJ/mole)","Temperature (K)"
13800000,-3495.67200690927,325.57852007841865
13840000,-3482.978499740362,291.1485921834779
13880000,-3283.7451041936874,302.0366959468783
13920000,-3289.334580361843,290.79558706787947
13960000,-3430.388383835554,298.4490285885141
14000000,-3352.615416251123,292.8766383923422
14040000,-3363.9660581350327,296.94737777771337
14080000,-3431.202358333394,291.06782487962636
14120000,-3290.542764313519,289.97146245763196
14160000,-3375.2516691088676,279.2469030925995
14200000,-3420.7428618967533,281.4127477611351
14240000,-3380.858515024185,295.2629480804924
14280000,-3348.139346718788,281.0214048437144
14320000,-3269.3794610649347,298.4263749746843
14360000,-3340.8808331489563,306.3420999736801
14400000,-3373.1817291229963,313.41469014483897
14440000,-3361.3261871933937,286.94405351652733
14480000,-3319.0754819884896,310.78808149206384
14520000,-3451.001916229725,294.61855299247077
14560000,-3362.1849160083802,290.83127853793417
14600000,-3419.973075352609,297.86460940501775
14640000,-3376.5276232054457,305.52407225496484
14680000,-3376.6298536509275,283.03475587744094
14720000,-3396.8013030113652,290.4050151422657
14760000,-3461.878729261458,309.53636544101545
14800000,-3347.9146554917097,313.82245751406737
14840000,-3390.9324921672232,307.27764095577743
14880000,-3358.512272119522,294.0992426108049
14920000,-3315.3447619131766,292.7688887294576
14960000,-3390.933263947256,300.67272614911
15000000,-3325.504468716681,307.6336868606457
15040000,-3378.45464739576,291.9676165535136
15080000,-3347.2802558019757,320.5564670183078
15120000,-3443.434407532215,296.30329040204094
15160000,-3434.9158969521523,292.89194323010275
15200000,-3410.3809000253677,298.6814421261002
15240000,-3325.2690111398697,289.0584929447714
15280000,-3348.5764403641224,316.6928354217578
15320000,-3282.1342929452658,288.9638408062902
15360000,-3323.3447035998106,294.4301407204413
15400000,-3372.825484437053,306.21596701710797
15440000,-3384.531004551798,289.080075146718
15480000,-3373.9006745815277,324.24974588760847
15520000,-3363.2905702998396,308.6686645720714
15560000,-3342.9924081257777,300.732523592323
15600000,-3320.515408694744,316.13760892180744
15640000,-3381.1483174338937,292.3219812890399
15680000,-3411.0080761909485,296.9394593848757
15720000,-3312.1865218281746,289.3829988609589
15760000,-3268.0137619376183,303.32066118395346
15800000,-3415.6207629851997,310.9280333426391
15840000,-3294.3771784743294,312.22958782339913
15880000,-3409.7112875580788,296.2394111161967
15920000,-3157.105003297329,289.73849889397087
15960000,-3399.8197606801987,299.40569604356307
